ICAO,IATA,Name,City,Country,Altitude,Latitude,Longitude
SKMG,MGN,BARACOA,MAGANGUE,COLOMBIA,55,9.283,-74.839
HCMM,MGQ,MOGADISHU,MOGADISHU,SOMALIA,10,2.014,45.305
FOGI,MGX,N/A,MOABI,GABON,0,0,0
VYME,MGZ,MYEIK,MYEIK,MYANMAR,23,12.443,98.621
EDFM,MHG,MANNHEIM CITY,MANNHEIM,GERMANY,95,49.473,8.514
MYAM,MHH,MARSH HARBOUR,MARSH HARBOR,BAHAMAS,4,26.511,-77.083
KMHK,MHK,Manhattan Regional Airport,MANHATTAN,USA,N/A,N/A,N/A
UMMM,MHP,MINSK 1,MINSK,RUSSIA,229,53.864,27.539
EFMA,MHQ,MARIEHAMN,MARIEHAMN,FINLAND,6,60.122,19.898
KMHR,MHR,SACRAMENTO MATHER,SACRAMENTO,USA,30,38.554,-121.297
KMHT,MHT,Manchester–Boston Regional Airport,MANCHESTER,USA,N/A,N/A,N/A
EGUN,MHZ,MILDENHALL,MILDENHALL,ENGLAND,11,52.361,0.488
KMIA,MIA,MIAMI INTERNATIONAL,MIAMI,USA,3,25.793,-80.291
KMIB,MIB,MINOT AFB,MINOT,USA,509,48.416,-101.357
MMMD,MID,LICENCIADO MANUEL CRECENCIO REJON INTERNATIONAL,MERIDA,MEXICO,11,20.937,-89.657
EFMI,MIK,MIKKELI,MIKKELI,FINLAND,101,61.686,27.202
DTMB,MIR,HABIB BOURGUIBA INTERNATIONAL,MONASTIR,TUNISIA,3,35.758,10.755
DNMA,MIU,MAIDUGURI,MAIDUGURI,NIGERIA,336,11.855,13.081
KMIV,MIV,MILLVILLE MUNI,MILLVILLE,USA,26,39.368,-75.072
FMSJ,MJA,N/A,MANJA,MADAGASCAR,0,0,0
DIMN,MJC,MAN,MAN,IVORY COAST,332,7.272,-7.587
OPMJ,MJD,MOENJODARO,MOENJODARO,PAKISTAN,47,27.335,68.143
ENMS,MJF,KJAERSTAD,MOSJOEN,NORWAY,73,65.784,13.215
FOOA,MJL,N/A,MOUILA,GABON,0,0,0
FZWA,MJM,MBUJI MAYI,MBUJI-MAYI,ZAIRE,677,-6.121,23.569
FMNM,MJN,MAHAJANGA PHILIBERT TSIRANANA,MAHAJANGA,MADAGASCAR,27,-15.667,46.352
LGMT,MJT,MITILINI,MYTILINI,GREECE,18,39.057,26.598
LELC,MJV,MURCIA SAN JAVIER,MURCIA,SPAIN,4,37.775,-0.812
UERR,MJZ,N/A,MIRNYJ,RUSSIA,0,0,0
FOOE,MKB,N/A,MEKAMBO,GABON,0,0,0
KMKE,MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,USA,221,42.947,-87.896
KMKG,MKG,Muskegon County Airport,MUSKEGON,USA,N/A,N/A,N/A
FXMK,MKH,N/A,MOKHOTLONG,LESOTHO,0,0,0
FEFB,MKI,N/A,OBO,CENTRAL AFRICAN REP.,0,0,0
FCOM,MKJ,MAKOUA,MAKOUA,CONGO,393,-0.021,15.575
PHMK,MKK,MOLOKAI,MOLOKAI,USA,139,21.153,-157.096
KMKL,MKL,MC KELLAR SIPES RGNL,JACKSON,USA,133,35.6,-88.916
WBGK,MKM,N/A,MUKAH,MALAYSIA,0,0,0
KMKO,MKO,DAVIS FLD,MUSKOGEE,USA,186,35.657,-95.361
NTGM,MKP,MAKEMO,MAKEMO,FRENCH POLYNESIA,1,-16.585,-143.657
WAKK,MKQ,MOPAH,MERAUKE,INDONESIA,4,-8.52,140.418
FOOK,MKU,MAKOKOU,MAKOKOU,GABON,527,0.579,12.891
WASR,MKW,RENDANI,MANOKWARI,INDONESIA,5,-0.88,134.05
YBMK,MKY,MACKAY,MACKAY,AUSTRALIA,6,-21.172,149.18
WMKM,MKZ,MALACCA,MALACCA,MALAYSIA,11,2.263,102.251
LMML,MLA,LUQA,MALTA,MALTA,92,35.857,14.478
KMLB,MLB,MELBOURNE INTERNATIONAL,MELBOURNE,USA,11,28.103,-80.645
KMLC,MLC,MC ALESTER RGNL,MCALESTER,USA,235,34.882,-95.783
VRMM,MLE,MALE INTERNATIONAL,MALE,MALDIVES,2,4.192,73.529
WIAS,MLG,ABDUL RACHMAN SALEH,MALANG,INDONESIA,527,-7.926,112.714
LFSB,MLH,BALE MULHOUSE,MULHOUSE,FRANCE,270,47.589,7.53
KMLI,MLI,Quad City International Airport,MOLINE,USA,N/A,N/A,N/A
MMMM,MLM,GENERAL FRANCISCO J MUJICA,MORELIA,MEXICO,1834,19.85,-101.025
GEML,MLN,MELILLA,MELILLA,SPANISH NORTH AFRICA,48,35.28,-2.956
LGML,MLO,N/A,MILOS,GREECE,0,0,0
KMLT,MLT,MILLINOCKET MUNI,MILLINOCKET,USA,125,45.648,-68.686
KMLU,MLU,MONROE RGNL,MONROE,USA,25,32.511,-92.037
GLMR,MLW,MONROVIA SPRIGGS PAYNE,MONROVIA,LIBERIA,8,6.289,-10.759
LTAT,MLX,ERHAC,MALATYA,TURKEY,862,38.436,38.092
SUMO,MLZ,CERRO LARGO,MELO,URUGUAY,111,-32.338,-54.217
RJCM,MMB,MEMANBETSU,MEMANBETSU,JAPAN,42,43.881,144.164
MMDM,MMC,CIUDAD MANTE,CIUDAD MANTE,MEXICO,104,22.74,-99.018
ROMD,MMD,MINAMI DAITO,MINAMI DAITO,JAPAN,51,25.846,131.263
EGNV,MME,TEESSIDE,TEESSIDE,ENGLAND,37,54.509,-1.429
FKKF,MMF,N/A,MAMFE,CAMEROON,0,0,0
RJAF,MMJ,MATSUMOTO,MATSUMOTO,JAPAN,666,36.167,137.923
ULMM,MMK,MURMANSK,MURMANSK,RUSSIA,82,68.782,32.751
GVMA,MMO,MAIO,MAIO,CAPE VERDE ISLANDS,11,15.156,-23.214
KMMV,MMV,MC MINNVILLE MUNI,MACKMINNVILLE,USA,50,45.194,-123.136
ESMS,MMX,STURUP,MALMOE,SWEDEN,72,55.53,13.371
RJTQ,MMY,MIYAKEJIMA,MIYAKE JIMA,JAPAN,21,34.072,139.56
OAMN,MMZ,MAIMANA,MAIMAMA,AFGHANISTAN,820,35.934,64.759
WAMN,MNA,N/A,MELANGGUANE,INDONESIA,0,0,0
FZAG,MNB,MUANDA,MUANDA,ZAIRE,28,-5.931,12.352
FQNC,MNC,NACALA,NACALA,MOZAMBIQUE,125,-14.488,40.712
NFMA,MNF,N/A,MANA ISLAND,FIJI,0,0,0
TRPM,MNI,SANTEE COOPER RGNL,PLYMOUTH,MONTSERRAT ISLAND,32,33.587,-80.209
FMSM,MNJ,MANANJARY,MANANJARY,MADAGASCAR,7,-21.202,48.358
NGMA,MNK,N/A,MAIANA,KIRIBATI,0,0,0
RPLL,MNL,NINOY AQUINO INTERNATIONAL,MANILA,PHILIPPINES,23,14.509,121.019
KMNM,MNM,MENOMINEE MARINETTE TWIN CO,MACON,USA,191,45.126,-87.638
MUMO,MOA,ORESTES ACOSTA,MOA,CUBA,5,20.654,-74.922
KMOB,MOB,MOBILE RGNL,MOBILE,USA,67,30.691,-88.243
SBMK,MOC,MONTES CLAROS,MONTES CLAROS,BRAZIL,668,-16.707,-43.819
KMOD,MOD,MODESTO CITY CO HARRY SHAM,MODESTO,USA,30,37.626,-120.954
WRKC,MOF,WAI OTI,MAUMERE,INDONESIA,36,-8.641,122.237
VYMS,MOG,MONGHSAT,MONG HSAT,MYANMAR,572,20.517,99.257
VEMN,MOH,DIBRUGARH,MOHANBARI,INDIA,111,27.483,95.017
ENML,MOL,ARO,MOLDE,NORWAY,4,62.746,7.272
GQNL,MOM,N/A,MOUDJERIA,MAURITANIA,0,0,0
NZGT,MON,GLENTANNER,GLENTANNER,NEW ZEALAND,556,-43.907,170.128
FMMV,MOQ,MORONDAVA,MORONDAVA,MADAGASCAR,10,-20.285,44.318
KMOT,MOT,MINOT INTERNATIONAL,MINOT,USA,519,48.259,-101.28
NTTM,MOZ,TEMAE,MOOREA,FRENCH POLYNESIA,3,-17.49,-149.762
FAMP,MPA,N/A,MPACHA,NAMIBIA,0,0,0
LFMT,MPL,MEDITERRANEE,MONTPELLIER,FRANCE,6,43.576,3.963
FQMA,MPM,MAPUTO,MAPUTO,MOZAMBIQUE,45,-25.921,32.573
EGYP,MPN,MOUNT PLEASANT,MOUNT PLEASANT,FALKLAND ISLANDS,75,-51.823,-58.447
WPMN,MPT,N/A,MALIANA,EAST TIMOR,0,0,0
KMPV,MPV,EDWARD F KNAPP STATE,MONTPELIER,USA,356,44.203,-72.562
USCM,MQF,MAGNITOGORSK,MAGNETIOGORSK,RUSSIA,436,53.393,58.76
FTTD,MQQ,MOUNDOU,MOUNDOU,CHAD,428,8.62,16.068
TVSM,MQS,MUSTIQUE,MUSTIQUE,ST.VINCENT/GRENADINES,2,12.887,-61.18
KMQT,MQT,SAWYER INTERNATIONAL,MARQUETTE,USA,433,46.534,-87.562
HAMK,MQX,MEKELE,MAKALE,ETHIOPIA,2232,13.467,39.533
SVMD,MRD,ALBERTO CARNEVALLI,MERIDA,VENEZUELA,1527,8.582,-71.161
PAMR,MRI,MERRILL FLD,ANCHORAGE,USA,42,61.214,-149.846
NZMS,MRO,MASTERTON,MASTERTON,NEW ZEALAND,111,-40.973,175.634
LFML,MRS,PROVENCE,MARSEILLE,FRANCE,23,43.436,5.214
FIMP,MRU,SIR SEEWOOSAGUR RAMGOOLAM INTERNATIONAL,PLAISANCE,MAURITIUS,57,-20.43,57.683
URMM,MRV,MINERALNYYE VODY,MINERALNYE VODY,RUSSIA,321,44.225,43.082
OIAM,MRX,MAHSHAHR,BANDAR MAHSHAHR,IRAN,3,30.556,49.152
KMRY,MRY,Monterey Regional Airport,MONTEREY,USA,N/A,N/A,N/A
EGMH,MSE,MANSTON,MANSTON,ENGLAND,55,51.342,1.346
OOMA,MSH,MASIRAH,MASIRAH,OMAN,20,20.675,58.89
RJSM,MSJ,MISAWA AB,MISAWA,JAPAN,37,40.703,141.368
KMSN,MSN,DANE CO RGNL TRUAX FLD,MADISON,USA,271,43.14,-89.337
KMSO,MSO,Missoula Montana Airport (was Missoula International Airport),MISSOULA,USA,N/A,N/A,N/A
KMSP,MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,USA,257,44.88,-93.217
UMMS,MSQ,MINSK 2,MINSK 2,RUSSIA,204,53.882,28.031
KMSS,MSS,MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,USA,66,44.936,-74.845
EHBK,MST,MAASTRICHT,MAASTRICHT,NETHERLANDS,115,50.911,5.77
FXMM,MSU,MOSHOESHOE I INTERNATIONAL,MASERU,LESOTHO,1631,-29.462,27.553
HAMS,MSW,N/A,MASSAWA,ETHIOPIA,0,0,0
KMSY,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,USA,2,29.993,-90.258
KMTC,MTC,SELFRIDGE ANGB,MOUNT CLEMENS,USA,177,42.613,-82.832
HAMT,MTF,N/A,MIZAN TEFERI,ETHIOPIA,0,0,0
KMTJ,MTJ,Montrose Regional Airport,MONTROSE,USA,N/A,N/A,N/A
NGMN,MTK,N/A,MAKIN ISLAND,KIRIBATI,0,0,0
SKMR,MTR,LOS GARZONES,MONTERIA,COLOMBIA,11,8.824,-75.826
FDMS,MTS,MATSAPHA,MANZINI,SWAZILAND,633,-26.529,31.308
MMMT,MTT,MINATITLAN,MINATITLAN,MEXICO,11,18.103,-94.581
MMMY,MTY,GENERAL MARIANO ESCOBEDO INTERNATIONAL,MONTERREY,MEXICO,388,25.778,-100.107
LLMZ,MTZ,BAR YEHUDA,METZADA,ISRAEL,-385,31.328,35.388
YGGM,MUA,N/A,MUNDA,SOLOMON ISLANDS,0,0,0
FBMN,MUB,MAUN,MAUN,BOTSWANA,943,-19.972,23.431
EDDM,MUC,MUNICH,MUNICH,GERMANY,454,48.354,11.786
PHMU,MUE,WAIMEA KOHALA,KAMUELA,USA,815,20.001,-155.668
HEMM,MUH,MERSA MATRUH,MERSA-MATRUH,EGYPT,29,31.325,27.222
KMUI,MUI,MUIR AAF,MUIR,USA,150,40.435,-76.569
HAMR,MUJ,N/A,MUI RIVER,ETHIOPIA,0,0,0
SVMT,MUN,MATURIN,MATURIN,VENEZUELA,69,9.749,-63.152
KMUO,MUO,MOUNTAIN HOME AFB,MOUNTAIN HOME,USA,914,43.043,-115.872
WBGM,MUR,MARUDI,MARUDI,MALAYSIA,32,4.178,114.331
DAOV,MUW,GHRISS,GHRISS,ALGERIA,514,35.208,0.147
OPMT,MUX,MULTAN INTERNATIONAL,MULTAN,PAKISTAN,123,30.203,71.419
FCBM,MUY,N/A,MUYONDZI,CONGO,0,0,0
HTMU,MUZ,N/A,MUSOMA,TANZANIA,0,0,0
FOON,MVB,FRANCEVILLE MVENGUE,FRANCEVILLE,GABON,442,-1.656,13.438
SUAA,MVD,ANGEL S ADAMI,MONTEVIDEO,URUGUAY,54,-34.789,-56.264
FTTM,MVO,N/A,MONGO,CHAD,0,0,0
SKMU,MVP,FABIO ALBERTO LEON BENTLEY,MITU,COLOMBIA,208,1.254,-70.234
FKKL,MVR,MAROUA SALAK,MAROUA,CAMEROON,424,10.451,14.257
NTGV,MVT,MATAIVA,MATAIVA,FRENCH POLYNESIA,4,-14.868,-148.717
FOGV,MVX,N/A,MINVOUL,GABON,0,0,0
KMVY,MVY,Martha's Vineyard Airport,VINEYARD HAVEN,USA,N/A,N/A,N/A
FVMV,MVZ,MASVINGO,MASVINGO,ZIMBABWE,1096,-20.055,30.859
KMWA,MWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport),MARION,USA,N/A,N/A,N/A
HSMR,MWE,N/A,MEROWE,SUDAN,0,0,0
NVSN,MWF,N/A,MAEWO-NAONE,VANUATU,0,0,0
KMWH,MWH,GRANT CO INTERNATIONAL,GRANT COUNTY AIRPORT,USA,362,47.208,-119.32
KMWL,MWL,MINERAL WELLS,MINERAL WELLS,USA,297,32.781,-98.06
HTMW,MWZ,MWANZA,MWANZA,TANZANIA,1147,-2.444,32.932
KMXF,MXF,MAXWELL AFB,MONTGOMERY,USA,53,32.379,-86.362
DNMN,MXJ,MINNA NEW,MINNA,NIGERIA,255,9.652,6.462
MMML,MXL,GENERAL RODOLFO SANCHEZ TABOADA INTERNATIONAL,MEXICALI,MEXICO,22,32.631,-115.241
FMSR,MXM,MOROMBE,MOROMBE,MADAGASCAR,5,-21.754,43.375
LFRU,MXN,PLOUJEAN,MORLAIX,FRANCE,83,48.603,-3.816
LIMC,MXP,MALPENSA,MILANO,ITALY,234,45.631,8.728
NSMA,MXS,N/A,MAOTA,SAMOA,0,0,0
FMMO,MXT,N/A,MAINTIRANO,MADAGASCAR,0,0,0
ESKM,MXX,MORA,MORA,SWEDEN,194,60.958,14.511
ZGMX,MXZ,N/A,MEIXIAN,CHINA,0,0,0
FOOY,MYB,N/A,MAYUMBA,GABON,0,0,0
HKML,MYD,MALINDI,MALINDI,KENYA,25,-3.229,40.102
MYMM,MYG,MAYAGUANA,MAYAGUANA,BAHAMAS,4,22.379,-73.013
RJOM,MYJ,MATSUYAMA,MATSUYAMA,JAPAN,8,33.827,132.7
KMYR,MYR,MYRTLE BEACH INTERNATIONAL,MYRTLE BEACH,USA,8,33.68,-78.928
VYMK,MYT,MYITKYINA,MYITKYINA,MYANMAR,145,25.383,97.353
HTMT,MYW,MTWARA,MTWARA,TANZANIA,114,-10.339,40.182
WBGR,MYY,MIRI,MIRI,MALAYSIA,17,4.325,113.988
FWMY,MYZ,N/A,MONKEY BAY,MALAWI,0,0,0
FQMP,MZB,MOCIMBOA DA PRAIA,MOCIMBOA DA PRAIA,MOZAMBIQUE,28,-11.362,40.355
FOOM,MZC,MITZIC,MITZIC,GABON,584,0.776,11.553
FAMW,MZF,N/A,MZAMBA,SOUTH AFRICA,0,0,0
RCQC,MZG,MAKUNG,MAKUNG,TAIWAN,32,23.569,119.628
LTAP,MZH,MERZIFON,MERZIFON,TURKEY,545,40.829,35.522
GAMB,MZI,MOPTI AMBODEDJO,MOPTI,MALI,277,14.513,-4.079
NGMK,MZK,N/A,MARAKEI,KIRIBATI,0,0,0
SKMZ,MZL,LA NUBIA,MANIZALES,COLOMBIA,2095,5.03,-75.465
LFSF,MZM,FRESCATY,METZ,FRANCE,192,49.072,6.132
MUMZ,MZO,SIERRA MAESTRA,MANZANILLO,CUBA,35,20.288,-77.089
NZMK,MZP,N/A,MOTUEKA,NEW ZEALAND,0,0,0
OAMS,MZR,MAZAR I SHARIF,MAZAR-I-SHARIF,AFGHANISTAN,392,36.707,67.209
MMMZ,MZT,GENERAL RAFAEL BUELNA INTERNATIONAL,MAZATLAN,MEXICO,12,23.161,-106.266
RCMT,MZW,MATSU,MATSU,TAIWAN,13,26.224,120.002
HAML,MZX,N/A,MASSLO,ETHIOPIA,0,0,0
FHAW,N/A,ASCENSION AUX AF,WIDE AWAKE,ACORES,84,-7.969,-14.394
DBBN,NAE,N/A,NATITINGOU,BENIN,0,0,0
VANP,NAG,NAGPUR,NAGPUR,INDIA,309,21.092,79.047
VTUN,NAK,KHORAT,NAKHON RATCHASIMA,THAILAND,223,14.934,102.079
NFFN,NAN,NADI INTERNATIONAL,NANDI,FIJI,18,-17.754,177.443
LIRN,NAP,CAPODICHINO,NAPLES,ITALY,91,40.886,14.291
MYNN,NAS,NASSAU INTERNATIONAL,NASSAU,BAHAMAS,5,25.039,-77.466
SBNT,NAT,AUGUSTO SEVERO,NATAL,BRAZIL,52,-5.911,-35.248
NTGN,NAU,NAPUKA,NAPUKA ISLAND,FRENCH POLYNESIA,3,-14.177,-141.267
VTSC,NAW,NARATHIWAT,NARATHIWAT,THAILAND,6,6.52,101.743
KNBC,NBC,BEAUFORT MCAS,BEAUFORT,USA,11,32.477,-80.723
KNBG,NBG,NEW ORLEANS NAS JRB,NEW ORLEANS,USA,1,29.825,-90.035
HKNA,NBO,N/A,NAIROBI,KENYA,0,0,0
WABI,NBX,NABIRE,NABIRE,INDONESIA,7,-3.368,135.496
MBNC,NCA,NORTH CAICOS,NORTH CAICOS,TURKS & CAICOS I.,4,21.917,-71.939
LFMN,NCE,COTE D AZUR,NICE,FRANCE,4,43.661,7.218
HTNA,NCH,N/A,NACHINGWEA,TANZANIA,0,0,0
EGNT,NCL,NEWCASTLE,NEWCASTLE,ENGLAND,82,55.038,-1.692
FANC,NCS,NEWCASTLE,NEWCASTLE,SOUTH AFRICA,1242,-27.771,29.977
UTNN,NCU,NUKUS,NUKUS,RUSSIA,49,42.486,59.623
LFLP,NCY,MEYTHET,ANNECY,FRANCE,464,45.929,6.099
GQPP,NDB,NOUADHIBOU,NOUADHIBOU,MAURITANIA,5,20.928,-17.031
VAND,NDC,N/A,NANDED,INDIA,0,0,0
HKMA,NDE,MANDERA,MANDERA,KENYA,246,3.934,41.844
FTTJ,NDJ,NDJAMENA,N'DJAMENA,CHAD,296,12.134,15.034
FEFN,NDL,NDELE,N'DELE,CENTRAL AFRICAN REP.,498,8.427,20.635
HAMN,NDM,N/A,MENDI,ETHIOPIA,0,0,0
FARU,NDU,N/A,RUNDU,NAMIBIA,0,0,0
MKNG,NEG,N/A,NEGRIL,JAMAICA,0,0,0
HANK,NEK,N/A,NEKEMTE,ETHIOPIA,0,0,0
KNEL,NEL,LAKEHURST NAES,LAKEHURST,USA,32,40.033,-74.353
KNFL,NFL,FALLON NAS,FALLON,USA,1200,39.416,-118.701
NFTO,NFO,N/A,NIUAFO'OU,TONGA,0,0,0
ZSNB,NGB,LISHE,NINBO,CHINA,4,29.825,121.465
FKKN,NGE,NGAOUNDERE,N'GAOUNDERE,CAMEROON,1115,7.357,13.559
PHNG,NGF,KANEOHE BAY MCAF,KANEOHE BAY,USA,6,21.449,-157.768
RJNN,NGO,NAGOYA,NAGOYA,JAPAN,16,35.255,136.924
RJFU,NGS,NAGASAKI,NAGASAKI,JAPAN,5,32.922,129.923
KNGU,NGU,NORFOLK NS,NORFOLK,USA,5,36.938,-76.289
FNGI,NGV,NGIVA,N'GIVA,ANGOLA,1087,-17.045,15.687
VVNT,NHA,NHA TRANG AIRPORT,NHATRANG,VIET NAM,7,12.218,109.2
KNHK,NHK,PATUXENT RIVER NAS,PATUXENT RIVER,USA,12,38.286,-76.412
EGWU,NHT,NORTHOLT RAF,NORTHOLT,UK,38,51.553,-0.418
NTMD,NHV,NUKU HIVA,NUKU HIVA,FRENCH POLYNESIA,68,-8.796,-140.229
GLNA,NIA,N/A,GRASSFIELD,LIBERIA,0,0,0
KNID,NID,CHINA LAKE NAWS,CHINA,USA,696,35.688,-117.691
NGNU,NIG,N/A,NIKUNAU,KIRIBATI,0,0,0
DRRN,NIM,DIORI HAMANI,NIAMEY,NIGER,224,13.481,2.184
KNIP,NIP,JACKSONVILLE NAS,JACKSONVILLE,USA,7,30.236,-81.681
LFBN,NIT,SOUCHE,NIORT,FRANCE,62,46.311,-0.401
GANR,NIX,NIORO,NIORO,MALI,238,15.239,-9.576
USNN,NJC,NIZHNEVARTOVSK,NIZHNEVARTOVSK,RUSSIA,0,60.95,76.467
KNJK,NJK,EL CENTRO NAF,EL CENTRO,USA,-13,32.829,-115.672
GQNN,NKC,NOUAKCHOTT,NOUAKSCHOTT,MAURITANIA,3,18.098,-15.948
ZSNJ,NKG,LU KOU AIRPORT,NANJING,CHINA,15,31.74,118.86
KNKT,NKT,CHERRY POINT MCAS,CHERRY POINT,USA,9,34.902,-76.881
FXNK,NKU,N/A,NKAUS,LESOTHO,0,0,0
KNKX,NKX,MIRAMAR MCAS,MIRAMAR,USA,146,32.868,-117.143
FCBY,NKY,N/A,N'KAYI,CONGO,0,0,0
FLND,NLA,NDOLA,NDOLA,ZAMBIA,1271,-12.998,28.665
KNLC,NLC,LEMOORE NAS,LEMOORE,USA,72,36.333,-119.952
MMNL,NLD,QUETZALCOATL INTERNATIONAL,NUEVO LAREDO,MEXICO,149,27.444,-99.57
YSNF,NLK,NORFOLK ISLAND INTERNATIONAL,NORFOLK ISLAND,AUSTRALIA,114,-29.041,167.939
FZAB,NLO,KINSHASA NDOLO,KINSHASA,ZAIRE,279,-4.325,15.328
FANS,NLP,NELSPRUIT,NELSPRUIT,SOUTH AFRICA,885,-25.501,30.913
VADN,NMB,DAMAN,DAMAN,INDIA,11,20.435,72.844
KNMM,NMM,MERIDIAN NAS,MERIDIAN,USA,97,32.552,-88.556
GMMY,NNA,KENITRA,KENTIRA,MOROCCO,5,34.299,-6.596
ZGNN,NNG,WUXU,NANNING,CHINA,129,22.608,108.172
FANA,NNI,N/A,NAMUTONI,NAMIBIA,0,0,0
MRNS,NOB,NOSARA,NOSARA BEACH,COSTA RICA,1,9.976,-85.653
EIKN,NOC,CONNAUGHT,CONNAUGHT,IRELAND,203,53.91,-8.818
MMNG,NOG,NOGALES INTERNATIONAL,NOGALES,MEXICO,1217,31.226,-110.976
NGTO,NON,N/A,NONOUTI,KIRIBATI,0,0,0
RPVM,NOP,MACTAN INTERNATIONAL,MASBATE,PHILIPPINES,10,10.308,123.979
BINF,NOR,N/A,NORDFJORDUR,ICELAND,0,0,0
FMNN,NOS,NOSY BE FASCENE,NOSY-BE,MADAGASCAR,12,-13.312,48.314
NWWW,NOU,LA TONTOUTA,NOUMEA,NEW CALEDONIA,16,-22.014,166.213
FNHU,NOV,HUAMBO,HUAMBO,ANGOLA,1703,-12.809,15.76
KNOW,NOW,PORT ANGELES CGAS,PORT ANGELES,USA,4,48.141,-123.414
UNWW,NOZ,N/A,NOVOKUZNETSK,RUSSIA,0,0,0
KNPA,NPA,PENSACOLA NAS,PENSACOLA,USA,9,30.353,-87.319
NZNE,NPE,N/A,NAPIER,NEW ZEALAND,0,0,0
NZNP,NPL,NEW PLYMOUTH,NEW PLYMOUTH,NEW ZEALAND,30,-39.009,174.179
KNQA,NQA,MILLINGTON MUNI,MILLINGTON,USA,98,35.357,-89.87
KNQI,NQI,KINGSVILLE NAS,KINGSVILLE,USA,16,27.507,-97.81
SAZN,NQN,PRESIDENTE PERON,NEUQUEN,ARGENTINA,274,-38.949,-68.156
KNQX,NQX,KEY WEST NAS,KEY WEST,USA,2,24.576,-81.689
EGDG,NQY,ST MAWGAN,NEWQUAI,ENGLAND,119,50.441,-4.995
EDWY,NRD,NORDERNEY,NORDERNEY,GERMANY,2,53.707,7.23
ESSP,NRK,KUNGSANGEN,NORRKOEPING,SWEDEN,10,58.586,16.251
GANK,NRM,N/A,NARA,MALI,0,0,0
TJNR,NRR,ROOSEVELT ROADS NS,ROOSEVELT ROADS,PUERTO RICO,12,18.245,-65.643
RJAA,NRT,NEW TOKYO INTERNATIONAL,TOKYO,JAPAN,43,35.765,140.386
KNSE,NSE,WHITING FLD NAS NORTH,MILTON,USA,61,30.724,-87.022
NZNS,NSN,NELSON,NELSON,NEW ZEALAND,6,-41.298,173.221
VTSN,NST,CHA IAN,NAKHON SI THAMMARAT,THAILAND,14,8.471,99.956
LICZ,NSY,SIGONELLA,SIGONELLA,ITALY,25,37.401,14.922
KNTD,NTD,POINT MUGU NAS,POINT MUGU,USA,4,34.12,-119.121
LFRS,NTE,NANTES ATLANTIQUE,NANTES,FRANCE,28,47.153,-1.611
KNTK,NTK,TUSTIN MCAF,TUSTIN,USA,17,33.706,-117.827
MMAN,NTR,DEL NORTE INTERNATIONAL,MONTERREY,MEXICO,449,25.866,-100.237
NFTP,NTT,N/A,NIUATOPUTAPU,TONGA,0,0,0
KNTU,NTU,OCEANA NAS,OCEANA,USA,7,36.821,-76.033
FAPN,NTY,PILANESBERG,PILANESBERG,SOUTH AFRICA,1040,-25.334,27.173
EDDN,NUE,NURNBERG,NUERNBERG,GERMANY,319,49.499,11.078
NTGW,NUK,N/A,NUKUTAVAKE,FRENCH POLYNESIA,0,0,0
KNUQ,NUQ,MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,USA,10,37.415,-122.048
NVSP,NUS,N/A,NORSUP,VANUATU,0,0,0
HKNK,NUU,N/A,NAKURU,KENYA,0,0,0
KNUW,NUW,WHIDBEY ISLAND NAS,WHIDBEY ISLAND,USA,15,48.352,-122.656
SKNV,NVA,BENITO SALAS,NEIVA,COLOMBIA,439,2.95,-75.294
ENNK,NVK,N/A,NARKVIK,NORWAY,0,0,0
LFQG,NVS,FOURCHAMBAULT,NEVERS,FRANCE,184,47.001,3.114
SBNF,NVT,NAVEGANTES ITAJAI,NAVEGANTES,BRAZIL,6,-26.88,-48.651
VONV,NVY,N/A,NEYVELI,INDIA,0,0,0
FMCI,NWA,MOHELI BANDAR ES SALAM,MOHELI,COMOROS ISLANDS,15,-12.298,43.766
EGSH,NWI,NORWICH,NORWICH,ENGLAND,36,52.676,1.283
KNXP,NXP,TWENTYNINE PALMS EAF,TWENTY NINE PALMS,USA,623,34.296,-116.162
KNXX,NXX,WILLOW GROVE NAS JRB,WILLOW GROVE,USA,111,40.2,-75.148
HKNI,NYE,NYERI,NYERI,KENYA,1777,-0.369,36.98
KNYG,NYG,QUANTICO MCAF,QUANTICO,USA,4,38.502,-77.305
DGSN,NYI,SUNYANI,SUNYANI,GHANA,310,7.362,-2.329
HKNY,NYK,NANYUKI,NANYUKI,KENYA,1905,-0.061,37.039
ESKN,NYO,SKAVSTA,STOCKHOLM,SWEDEN,43,58.789,16.912
KNZC,NZC,CECIL FLD,JACKSONVILLE,USA,25,30.219,-81.876
GUNZ,NZE,NZEREKORE,N'ZEREKORE,GUINEA,506,7.806,-8.702
KNZY,NZY,NORTH ISLAND NAS,SAN DIEGO,USA,8,32.699,-117.215
KOAJ,OAJ,Albert J. Ellis Airport,JACKSONVILLE,USA,N/A,N/A,N/A
KOAK,OAK,METROPOLITAN OAKLAND INTERNATIONAL,OAKLAND,USA,2,37.721,-122.221
NZOU,OAM,OAMARU,OAMARU,NEW ZEALAND,31,-44.97,171.082
